Date,Open,High,Low,Close,Adj Close,Volume
2010-04-26,1.350000,1.350000,1.350000,1.350000,0.073889,0
2010-04-27,1.350000,1.350000,1.350000,1.350000,0.073889,0
2010-04-28,1.350000,1.350000,1.350000,1.350000,0.073889,0
2010-04-29,1.350000,1.350000,1.350000,1.350000,0.073889,0
2010-04-30,1.500000,1.500000,1.500000,1.500000,0.082099,3500
2010-05-03,1.400000,1.400000,1.400000,1.400000,0.076626,5000
2010-05-04,1.340000,1.340000,1.340000,1.340000,0.073342,200
2010-05-05,1.340000,1.340000,1.340000,1.340000,0.073342,0
2010-05-06,1.340000,1.340000,1.340000,1.340000,0.073342,0
2010-05-07,1.340000,1.340000,1.340000,1.340000,0.073342,0
2010-05-10,1.340000,1.340000,1.340000,1.340000,0.073342,0
2010-05-11,1.340000,1.340000,1.340000,1.340000,0.073342,0
2010-05-12,1.340000,1.340000,1.340000,1.340000,0.073342,0
2010-05-13,1.340000,1.340000,1.340000,1.340000,0.073342,0
2010-05-14,1.340000,1.340000,1.340000,1.340000,0.073342,0
2010-05-17,1.340000,1.340000,1.340000,1.340000,0.073342,0
2010-05-18,1.340000,1.340000,1.340000,1.340000,0.073342,0
2010-05-19,1.250000,1.250000,1.250000,1.250000,0.068416,1000
2010-05-20,1.250000,1.250000,1.250000,1.250000,0.068416,0
2010-05-21,1.250000,1.250000,1.250000,1.250000,0.068416,0
2010-05-24,1.310000,1.310000,1.300000,1.300000,0.071153,1200
2010-05-25,1.300000,1.300000,1.300000,1.300000,0.071153,0
2010-05-26,1.300000,1.300000,1.300000,1.300000,0.071153,0
2010-05-27,1.300000,1.300000,1.300000,1.300000,0.071153,0
2010-05-28,1.300000,1.300000,1.300000,1.300000,0.071153,0
2010-06-01,1.300000,1.300000,1.300000,1.300000,0.071153,0
2010-06-02,1.280000,1.280000,1.280000,1.280000,0.070058,1600
2010-06-03,1.230000,1.230000,1.230000,1.230000,0.067321,200
2010-06-04,1.230000,1.230000,1.230000,1.230000,0.067321,0
2010-06-07,1.230000,1.230000,1.230000,1.230000,0.067321,0
2010-06-08,1.230000,1.230000,1.230000,1.230000,0.067321,0
2010-06-09,1.230000,1.230000,1.230000,1.230000,0.067321,0
2010-06-10,1.230000,1.230000,1.230000,1.230000,0.067321,0
2010-06-11,1.230000,1.230000,1.230000,1.230000,0.067321,0
2010-06-14,1.230000,1.230000,1.230000,1.230000,0.067321,0
2010-06-15,1.230000,1.230000,1.230000,1.230000,0.067321,0
2010-06-16,1.230000,1.230000,1.230000,1.230000,0.067321,0
2010-06-17,1.230000,1.230000,1.230000,1.230000,0.067321,0
2010-06-18,1.230000,1.230000,1.230000,1.230000,0.067321,0
2010-06-21,1.230000,1.230000,1.230000,1.230000,0.067321,0
2010-06-22,1.260000,1.260000,1.260000,1.260000,0.068963,1000
2010-06-23,1.260000,1.260000,1.260000,1.260000,0.068963,0
2010-06-24,1.260000,1.260000,1.260000,1.260000,0.068963,0
2010-06-25,1.260000,1.260000,1.260000,1.260000,0.068963,0
2010-06-28,1.260000,1.260000,1.260000,1.260000,0.068963,0
2010-06-29,1.260000,1.260000,1.260000,1.260000,0.068963,0
2010-06-30,1.260000,1.260000,1.260000,1.260000,0.068963,0
2010-07-01,1.250000,1.250000,1.250000,1.250000,0.068416,1000
2010-07-02,1.250000,1.250000,1.250000,1.250000,0.068416,0
2010-07-06,1.260000,1.270000,1.260000,1.270000,0.069511,3000
2010-07-07,1.270000,1.270000,1.270000,1.270000,0.069511,0
2010-07-08,1.270000,1.270000,1.270000,1.270000,0.069511,0
2010-07-09,1.270000,1.270000,1.270000,1.270000,0.069511,0
2010-07-12,1.270000,1.270000,1.270000,1.270000,0.069511,0
2010-07-13,1.270000,1.270000,1.270000,1.270000,0.069511,0
2010-07-14,1.270000,1.270000,1.270000,1.270000,0.069511,0
2010-07-15,1.270000,1.270000,1.270000,1.270000,0.069511,0
2010-07-16,1.270000,1.270000,1.270000,1.270000,0.069511,0
2010-07-19,1.270000,1.270000,1.270000,1.270000,0.069511,0
2010-07-20,1.270000,1.270000,1.270000,1.270000,0.069511,0
2010-07-21,1.270000,1.270000,1.270000,1.270000,0.069511,0
2010-07-22,1.270000,1.270000,1.270000,1.270000,0.069511,0
2010-07-23,1.270000,1.270000,1.270000,1.270000,0.069511,0
2010-07-26,1.270000,1.270000,1.270000,1.270000,0.069511,0
2010-07-27,1.270000,1.270000,1.270000,1.270000,0.069511,0
2010-07-28,1.270000,1.270000,1.270000,1.270000,0.069511,200
2010-07-29,1.270000,1.270000,1.270000,1.270000,0.069511,0
2010-07-30,1.270000,1.270000,1.270000,1.270000,0.069511,0
2010-08-02,1.270000,1.270000,1.270000,1.270000,0.069511,0
2010-08-03,1.300000,1.300000,1.300000,1.300000,0.071153,1000
2010-08-04,1.300000,1.300000,1.300000,1.300000,0.071153,0
2010-08-05,1.340000,1.340000,1.340000,1.340000,0.073342,200
2010-08-06,1.340000,1.340000,1.340000,1.340000,0.073342,0
2010-08-09,1.280000,1.280000,1.280000,1.280000,0.070058,1000
2010-08-10,1.280000,1.280000,1.280000,1.280000,0.070058,0
2010-08-11,1.280000,1.280000,1.280000,1.280000,0.070058,0
2010-08-12,1.280000,1.280000,1.280000,1.280000,0.070058,0
2010-08-13,1.280000,1.280000,1.280000,1.280000,0.070058,0
2010-08-16,1.280000,1.280000,1.280000,1.280000,0.070058,0
2010-08-17,1.280000,1.280000,1.280000,1.280000,0.070058,0
2010-08-18,1.290000,1.290000,1.290000,1.290000,0.070605,1000
2010-08-19,1.290000,1.290000,1.290000,1.290000,0.070605,0
2010-08-20,1.290000,1.320000,1.270000,1.270000,0.069511,1300
2010-08-23,1.270000,1.270000,1.270000,1.270000,0.069511,2700
2010-08-24,1.270000,1.270000,1.270000,1.270000,0.069511,0
2010-08-25,1.270000,1.270000,1.270000,1.270000,0.069511,0
2010-08-26,1.270000,1.270000,1.270000,1.270000,0.069511,0
2010-08-27,1.270000,1.270000,1.270000,1.270000,0.069511,0
2010-08-30,1.270000,1.270000,1.270000,1.270000,0.069511,0
2010-08-31,1.270000,1.270000,1.270000,1.270000,0.069511,0
2010-09-01,1.270000,1.270000,1.270000,1.270000,0.069511,0
2010-09-02,1.270000,1.270000,1.270000,1.270000,0.069511,0
2010-09-03,1.270000,1.270000,1.270000,1.270000,0.069511,0
2010-09-07,1.270000,1.270000,1.270000,1.270000,0.069511,0
2010-09-08,1.270000,1.270000,1.270000,1.270000,0.069511,0
2010-09-09,1.270000,1.270000,1.270000,1.270000,0.069511,0
2010-09-10,1.270000,1.270000,1.270000,1.270000,0.069511,0
2010-09-13,1.270000,1.270000,1.270000,1.270000,0.069511,0
2010-09-14,1.270000,1.270000,1.270000,1.270000,0.069511,0
2010-09-15,1.270000,1.270000,1.270000,1.270000,0.069511,0
2010-09-16,1.270000,1.270000,1.270000,1.270000,0.069511,0
2010-09-17,1.270000,1.270000,1.270000,1.270000,0.069511,0
2010-09-20,1.270000,1.270000,1.270000,1.270000,0.069511,0
2010-09-21,1.270000,1.270000,1.270000,1.270000,0.069511,0
2010-09-22,1.270000,1.270000,1.270000,1.270000,0.069511,0
2010-09-23,1.270000,1.270000,1.270000,1.270000,0.069511,0
2010-09-24,1.270000,1.270000,1.270000,1.270000,0.069511,0
2010-09-27,1.270000,1.270000,1.270000,1.270000,0.069511,0
2010-09-28,1.270000,1.270000,1.270000,1.270000,0.069511,0
2010-09-29,1.290000,1.290000,1.290000,1.290000,0.070605,800
2010-09-30,1.290000,1.290000,1.290000,1.290000,0.070605,0
2010-10-01,1.290000,1.290000,1.290000,1.290000,0.070605,0
2010-10-04,1.290000,1.290000,1.290000,1.290000,0.070605,0
2010-10-05,1.290000,1.290000,1.290000,1.290000,0.070605,0
2010-10-06,1.290000,1.290000,1.290000,1.290000,0.070605,0
2010-10-07,1.290000,1.290000,1.290000,1.290000,0.070605,0
2010-10-08,1.290000,1.290000,1.290000,1.290000,0.070605,0
2010-10-11,1.290000,1.290000,1.290000,1.290000,0.070605,0
2010-10-12,1.290000,1.290000,1.290000,1.290000,0.070605,0
2010-10-13,1.290000,1.290000,1.290000,1.290000,0.070605,0
2010-10-14,1.290000,1.290000,1.290000,1.290000,0.070605,0
2010-10-15,1.290000,1.290000,1.290000,1.290000,0.070605,0
2010-10-18,1.290000,1.290000,1.290000,1.290000,0.070605,0
2010-10-19,1.290000,1.290000,1.290000,1.290000,0.070605,0
2010-10-20,1.240000,1.240000,1.240000,1.240000,0.067869,500
2010-10-21,1.240000,1.240000,1.240000,1.240000,0.067869,0
2010-10-22,1.240000,1.240000,1.240000,1.240000,0.067869,0
2010-10-25,1.180000,1.180000,1.180000,1.180000,0.064585,2200
2010-10-26,1.180000,1.180000,1.180000,1.180000,0.064585,0
2010-10-27,1.180000,1.180000,1.180000,1.180000,0.064585,0
2010-10-28,1.240000,1.240000,1.240000,1.240000,0.067869,1000
2010-10-29,1.240000,1.240000,1.240000,1.240000,0.067869,0
2010-11-01,1.240000,1.240000,1.240000,1.240000,0.067869,0
2010-11-02,1.240000,1.240000,1.240000,1.240000,0.067869,0
2010-11-03,1.240000,1.240000,1.240000,1.240000,0.067869,0
2010-11-04,1.240000,1.240000,1.240000,1.240000,0.067869,0
2010-11-05,1.170000,1.170000,1.170000,1.170000,0.064037,1600
2010-11-08,1.170000,1.170000,1.170000,1.170000,0.064037,0
2010-11-09,1.170000,1.170000,1.170000,1.170000,0.064037,0
2010-11-10,1.170000,1.170000,1.170000,1.170000,0.064037,0
2010-11-11,1.170000,1.170000,1.170000,1.170000,0.064037,0
2010-11-12,1.170000,1.170000,1.170000,1.170000,0.064037,0
2010-11-15,1.170000,1.170000,1.170000,1.170000,0.064037,0
2010-11-16,1.170000,1.170000,1.170000,1.170000,0.064037,0
2010-11-17,1.170000,1.170000,1.170000,1.170000,0.064037,0
2010-11-18,1.170000,1.170000,1.170000,1.170000,0.064037,0
2010-11-19,1.170000,1.170000,1.170000,1.170000,0.064037,0
2010-11-22,1.170000,1.170000,1.170000,1.170000,0.064037,0
2010-11-23,1.170000,1.170000,1.170000,1.170000,0.064037,0
2010-11-24,1.170000,1.170000,1.170000,1.170000,0.064037,0
2010-11-26,1.170000,1.170000,1.170000,1.170000,0.064037,0
2010-11-29,1.170000,1.170000,1.170000,1.170000,0.064037,0
2010-11-30,1.170000,1.170000,1.170000,1.170000,0.064037,0
2010-12-01,1.170000,1.170000,1.170000,1.170000,0.064037,0
2010-12-02,1.170000,1.170000,1.170000,1.170000,0.064037,0
2010-12-03,1.170000,1.170000,1.170000,1.170000,0.064037,0
2010-12-06,1.170000,1.170000,1.170000,1.170000,0.064037,0
2010-12-07,1.420000,1.420000,1.420000,1.420000,0.077721,3000
2010-12-08,1.400000,1.400000,1.400000,1.400000,0.076626,6000
2010-12-09,1.400000,1.400000,1.400000,1.400000,0.076626,0
2010-12-10,1.360000,1.360000,1.360000,1.360000,0.074437,5000
2010-12-13,1.360000,1.360000,1.360000,1.360000,0.074437,0
2010-12-14,1.360000,1.360000,1.360000,1.360000,0.074437,0
2010-12-15,1.360000,1.360000,1.360000,1.360000,0.074437,0
